"address","geohash","s2","addr_res","gh_res","s2_res","tp"
"Puri Nirwana 3, Jalan Jambu Blok Dl No. 11, Karadenan, Cibinong, Kab. Bogor, Jawa Barat 16913, Indonesia","qqgfyx170ykp","5a0d2f9101209d47","[2,146,993,58,4,6,663,14,11301,7,128,4,3033,4,327,4,9,34,4,10,12,2163,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,26,17,9,27,31,10,17,34,16,3]","[2,4,5,7,6,11,12,10,8,7,8,11,7,10,6,19,9,3]","test"
"Jalan Palmerah Barat No. 145, RT.1/RW.2, Gelora, Palmerah, Kota Jakarta Barat, Dki Jakarta, Indonesia","qqguwjussxh4","5a0d2860704998e5","[2,6,553,12,7,3876,4,25,11,33,4,3077,4,553,4,8,15,12,4,20,15,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,6,5,28,6,23,23,9,12,21,3]","[2,4,5,7,6,11,16,17,7,9,7,19,10,10,16,15,4,3]","train"
"Jalan Talang Kerangga Gang Lorong Suka Damai No. 660, RT.15/RW.5, 30 Ilir, Ilir Barat Ii, Kota Palembang, Sumatera Selatan 30144, Indonesia","qr6qzw7dxyuu","5a7692359cad6dbd","[2,6,269,29896,17,121,298,308,7,39824,4,332,11,49,4,287,133,4,133,12,176,4,8,102,4,21,16,8792,4,5,3,1,1,1,1,1,1]","[2,4,11,18,4,14,5,31,33,9,17,6,6,3]","[2,4,5,9,17,10,11,13,4,10,18,5,6,17,6,14,6,3]","train"
"Warkop Iyus Multazam, Jalan Mboh, Jatimulya, Tambun Selatan, Kab. Bekasi, Jawa Barat 17510, Indonesia","qquh76mfkh6g","5a0d18b14ae61f77","[2,882,13581,20549,4,6,0,4,1579,4,212,16,4,9,28,4,10,12,297,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,12,31,18,25,26,34,12,18,7,3]","[2,4,5,7,6,8,16,14,8,19,5,15,17,8,12,9,9,3]","test"
"Jnt Dc, Jalan B Katamso No. 747, Kampung Baru, Medan Maimun, Kota Medan, Sumatera Utara 20158, Indonesia","w0whjwqggbf4","5078e34634eed34f","[2,2193,4390,4,6,87,1519,7,38165,4,40,45,4,46,3014,4,8,46,4,21,18,10638,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,5,10,5,12,28,5,4,7,7,19,26,21,3]","[2,4,7,9,16,15,13,19,17,13,19,15,15,6,13,19,12,3]","test"
"Kontrakan Pak Haji Ewok, RT.1/RW.6, Kp. Jati Pilar, Serang, Karangbahagia, Kab. Bekasi, Jawa Barat 17530, Indonesia","qqu5vu4yu1gg","5a0d1a4a4f0fc4ab","[2,96,175,208,0,4,25,11,59,4,117,115,2728,4,97,4,1155,4,9,28,4,10,12,1106,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,24,13,6,21,17,6,27,7,7,3]","[2,4,5,7,6,8,5,19,5,19,12,7,12,18,19,5,14,3]","train"
"No. 4, Kemelak Bindung Langit, Baturaja Timur, Kab. Ogan Komering Ulu, Sumatera Selatan 32111, Indonesia","qr60dcjwq85b","5a772599ad3c9429","[2,7,80,4,13848,14055,8159,4,1075,13,4,9,249,310,186,4,21,16,2744,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,11,18,10,33,30,28,5,4,8,24,19,3]","[2,4,5,9,9,11,4,10,10,5,6,13,18,10,19,11,10,3]","train"
"Refleksi H. Uhud L. Raya Salakopi, RT.3/RW.4, Desa Lembur Sawah, Cicantayan, Kab. Sukabumi, Jawa Barat 43155, Indonesia","qqgbxpssbcv6","5a0d375f6ae58f9d","[2,9746,696,0,13772,22,29231,4,31,11,43,4,26,3724,228,4,5225,4,9,179,4,10,12,5537,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,19,9,16,23,23,19,30,13,18,3]","[2,4,5,7,6,13,9,4,12,17,5,15,4,16,12,10,6,3]","train"
"Komplek Binakarya 2, Blok A1 No. 63, RT.1/RW.18, Desa Cimekar, Cileunyi, Kab. Bandung, Jawa Barat 40623, Indonesia","qqu8edxxm3fn","5a0d946272f8f37f","[2,88,15907,39,4,14,594,7,829,4,25,11,591,4,26,4014,4,756,4,9,37,4,10,12,5336,4,5,3,1,1,1,1,1,1,1,1,1]","[2,4,4,6,8,35,33,9,9,25,29,26,22,3]","[2,4,5,7,6,10,19,17,11,9,11,12,16,12,13,9,12,3]","train"
"Tk Aba 25, Jalan Veteran Dalam No. 427s, RT.2/RW.2, Sumbersari, Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","qw84dxk3f4cv","5a1d91d2f97f7cfd","[2,806,9442,235,4,6,766,190,7,0,4,27,11,33,4,1566,4,469,4,8,90,4,10,13,2784,4,5,3,1,1,1,1,1,1,1,1,1]","[2,4,5,8,21,33,9,34,29,26,21,30,13,3]","[2,4,5,8,6,10,8,6,11,12,10,9,12,9,18,12,6,3]","train"
